frame,build_id,state,judge,n_reps_parsed,ease_of_use,clarity,visual_hierarchy,memorable,trust,intuitive,aesthetic_pleasure,interest,comfort
anthropic_claude-opus-5_rep1__5_extended.png,anthropic_claude-opus-5_rep1,5_extended,claude-sonnet-5,3,5,6,6,5,3,5,4,6,4
anthropic_claude-opus-5_rep1__5_extended.png,anthropic_claude-opus-5_rep1,5_extended,gpt-4.1,3,6,7,7,6,5,6,4,6,3
anthropic_claude-opus-5_rep1__5_extended.png,anthropic_claude-opus-5_rep1,5_extended,qwen3.6-27b,0,,,,,,,,,
anthropic_claude-opus-5_rep1__6_stopped.png,anthropic_claude-opus-5_rep1,6_stopped,claude-sonnet-5,1,6,7,6,5,4,6,4,4,4
anthropic_claude-opus-5_rep1__6_stopped.png,anthropic_claude-opus-5_rep1,6_stopped,gpt-4.1,3,7,7,7,6,5,7,4,4,6
anthropic_claude-opus-5_rep1__6_stopped.png,anthropic_claude-opus-5_rep1,6_stopped,qwen3.6-27b,1,7,7,7,5,3,7,6,4,6
anthropic_claude-opus-5_rep2__1_boot_idle.png,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,3,6,7,6,5,4,5,5,4,6
anthropic_claude-opus-5_rep2__1_boot_idle.png,anthropic_claude-opus-5_rep2,1_boot_idle,gpt-4.1,3,7,7,6,5,6,7,5,3,6
anthropic_claude-opus-5_rep2__1_boot_idle.png,anthropic_claude-opus-5_rep2,1_boot_idle,qwen3.6-27b,1,7,7,7,3,6,7,5,3,6
anthropic_claude-opus-5_rep2__2_started.png,anthropic_claude-opus-5_rep2,2_started,claude-sonnet-5,3,6,7,6,5,4,5,5,5,6
anthropic_claude-opus-5_rep2__2_started.png,anthropic_claude-opus-5_rep2,2_started,gpt-4.1,3,7,7,7,6,6,7,5,4,7
anthropic_claude-opus-5_rep2__2_started.png,anthropic_claude-opus-5_rep2,2_started,qwen3.6-27b,1,6,7,7,5,4,7,6,3,6
anthropic_claude-opus-5_rep2__3_mid_meeting.png,anthropic_claude-opus-5_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
anthropic_claude-opus-5_rep2__3_mid_meeting.png,anthropic_claude-opus-5_rep2,3_mid_meeting,gpt-4.1,3,7,7,7,6,5,7,5,4,6
anthropic_claude-opus-5_rep2__3_mid_meeting.png,anthropic_claude-opus-5_rep2,3_mid_meeting,qwen3.6-27b,1,6,7,6,5,5,4,6,6,6
anthropic_claude-opus-5_rep2__4_threshold.png,anthropic_claude-opus-5_rep2,4_threshold,claude-sonnet-5,3,6,7,6,5,4,6,4,4,5
anthropic_claude-opus-5_rep2__4_threshold.png,anthropic_claude-opus-5_rep2,4_threshold,gpt-4.1,3,6,7,7,5,5,6,4,3,6
anthropic_claude-opus-5_rep2__4_threshold.png,anthropic_claude-opus-5_rep2,4_threshold,qwen3.6-27b,0,,,,,,,,,
anthropic_claude-opus-5_rep2__5_extended.png,anthropic_claude-opus-5_rep2,5_extended,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
anthropic_claude-opus-5_rep2__5_extended.png,anthropic_claude-opus-5_rep2,5_extended,gpt-4.1,3,7,7,7,5,5,7,4,4,6
anthropic_claude-opus-5_rep2__5_extended.png,anthropic_claude-opus-5_rep2,5_extended,qwen3.6-27b,2,6.0,7.0,7.0,6.0,3.5,6.5,4.5,6.0,4.0
anthropic_claude-opus-5_rep2__6_stopped.png,anthropic_claude-opus-5_rep2,6_stopped,claude-sonnet-5,3,6,7,6,5,4,5,4,4,5
anthropic_claude-opus-5_rep2__6_stopped.png,anthropic_claude-opus-5_rep2,6_stopped,gpt-4.1,3,7,7,7,6,6,7,5,4,7
anthropic_claude-opus-5_rep2__6_stopped.png,anthropic_claude-opus-5_rep2,6_stopped,qwen3.6-27b,1,7,7,6,4,6,7,5,3,6
deepseek_deepseek-v4-flash_rep2__1_boot_idle.png,deepseek_deepseek-v4-flash_rep2,1_boot_idle,claude-sonnet-5,3,4,7,3,3,4,3,4,2,5
deepseek_deepseek-v4-flash_rep2__1_boot_idle.png,deepseek_deepseek-v4-flash_rep2,1_boot_idle,gpt-4.1,3,1,6,4,3,2,1,3,2,2
deepseek_deepseek-v4-flash_rep2__1_boot_idle.png,deepseek_deepseek-v4-flash_rep2,1_boot_idle,qwen3.6-27b,1,1,2,1,1,1,1,2,1,2
deepseek_deepseek-v4-flash_rep2__2_started.png,deepseek_deepseek-v4-flash_rep2,2_started,claude-sonnet-5,3,7,7,6,5,5,6,5,3,6
deepseek_deepseek-v4-flash_rep2__2_started.png,deepseek_deepseek-v4-flash_rep2,2_started,gpt-4.1,3,2,7,6,4,3,2,4,2,4
deepseek_deepseek-v4-flash_rep2__2_started.png,deepseek_deepseek-v4-flash_rep2,2_started,qwen3.6-27b,0,,,,,,,,,
deepseek_deepseek-v4-flash_rep2__3_mid_meeting.png,deepseek_deepseek-v4-flash_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,6,4,5,5,5,3,5
deepseek_deepseek-v4-flash_rep2__3_mid_meeting.png,deepseek_deepseek-v4-flash_rep2,3_mid_meeting,gpt-4.1,3,2,7,7,5,4,2,5,3,4
deepseek_deepseek-v4-flash_rep2__3_mid_meeting.png,deepseek_deepseek-v4-flash_rep2,3_mid_meeting,qwen3.6-27b,2,5.0,7.0,6.0,3.5,4.5,3.0,3.5,2.0,4.5
deepseek_deepseek-v4-flash_rep2__4_threshold.png,deepseek_deepseek-v4-flash_rep2,4_threshold,claude-sonnet-5,3,7,7,6,5,5,6,5,3,6
deepseek_deepseek-v4-flash_rep2__4_threshold.png,deepseek_deepseek-v4-flash_rep2,4_threshold,gpt-4.1,3,2,6,7,5,3,2,5,3,4
deepseek_deepseek-v4-flash_rep2__4_threshold.png,deepseek_deepseek-v4-flash_rep2,4_threshold,qwen3.6-27b,0,,,,,,,,,
deepseek_deepseek-v4-flash_rep2__5_extended.png,deepseek_deepseek-v4-flash_rep2,5_extended,claude-sonnet-5,3,6,7,6,5,4,5,5,3,5
deepseek_deepseek-v4-flash_rep2__5_extended.png,deepseek_deepseek-v4-flash_rep2,5_extended,gpt-4.1,3,2,6,7,5,4,2,4,2,4
deepseek_deepseek-v4-flash_rep2__5_extended.png,deepseek_deepseek-v4-flash_rep2,5_extended,qwen3.6-27b,1,6,7,7,2,5,6,5,2,6
deepseek_deepseek-v4-flash_rep2__6_stopped.png,deepseek_deepseek-v4-flash_rep2,6_stopped,claude-sonnet-5,3,4,7,3,4,4,3,5,4,5
deepseek_deepseek-v4-flash_rep2__6_stopped.png,deepseek_deepseek-v4-flash_rep2,6_stopped,gpt-4.1,3,2,6,4,4,3,2,5,3,3
deepseek_deepseek-v4-flash_rep2__6_stopped.png,deepseek_deepseek-v4-flash_rep2,6_stopped,qwen3.6-27b,2,5.5,7.0,6.0,3.5,4.5,5.5,3.5,2.5,6.0
deepseek_deepseek-v4-pro_rep1__1_boot_idle.png,deepseek_deepseek-v4-pro_rep1,1_boot_idle,claude-sonnet-5,3,6,7,6,5,4,6,5,5,5
deepseek_deepseek-v4-pro_rep1__1_boot_idle.png,deepseek_deepseek-v4-pro_rep1,1_boot_idle,gpt-4.1,3,6,7,6,5,4,6,6,4,6
deepseek_deepseek-v4-pro_rep1__1_boot_idle.png,deepseek_deepseek-v4-pro_rep1,1_boot_idle,qwen3.6-27b,1,7,7,6,4,5,7,6,5,6
deepseek_deepseek-v4-pro_rep1__2_started.png,deepseek_deepseek-v4-pro_rep1,2_started,claude-sonnet-5,3,5,6,5,4,4,5,4,4,5
deepseek_deepseek-v4-pro_rep1__2_started.png,deepseek_deepseek-v4-pro_rep1,2_started,gpt-4.1,3,5,6,6,5,5,5,6,5,5
deepseek_deepseek-v4-pro_rep1__2_started.png,deepseek_deepseek-v4-pro_rep1,2_started,qwen3.6-27b,2,6.5,7.0,6.5,3.5,4.0,7.0,3.5,2.5,5.0
deepseek_deepseek-v4-pro_rep1__3_mid_meeting.png,deepseek_deepseek-v4-pro_rep1,3_mid_meeting,claude-sonnet-5,3,6,6,5,5,4,5,5,5,5
deepseek_deepseek-v4-pro_rep1__3_mid_meeting.png,deepseek_deepseek-v4-pro_rep1,3_mid_meeting,gpt-4.1,3,5,6,6,5,4,4,5,4,4
deepseek_deepseek-v4-pro_rep1__3_mid_meeting.png,deepseek_deepseek-v4-pro_rep1,3_mid_meeting,qwen3.6-27b,1,7,7,7,4,6,7,5,3,6
deepseek_deepseek-v4-pro_rep1__4_threshold.png,deepseek_deepseek-v4-pro_rep1,4_threshold,claude-sonnet-5,3,5,6,5,5,4,4,5,4,5
deepseek_deepseek-v4-pro_rep1__4_threshold.png,deepseek_deepseek-v4-pro_rep1,4_threshold,gpt-4.1,3,4,6,6,5,4,3,5,4,4
deepseek_deepseek-v4-pro_rep1__4_threshold.png,deepseek_deepseek-v4-pro_rep1,4_threshold,qwen3.6-27b,2,5.5,6.5,6.5,3.5,5.0,7.0,4.5,3.0,4.5
deepseek_deepseek-v4-pro_rep1__5_extended.png,deepseek_deepseek-v4-pro_rep1,5_extended,claude-sonnet-5,3,5,6,5,4,3,4,4,4,4
deepseek_deepseek-v4-pro_rep1__5_extended.png,deepseek_deepseek-v4-pro_rep1,5_extended,gpt-4.1,3,5,7,6,5,4,5,5,5,6
deepseek_deepseek-v4-pro_rep1__5_extended.png,deepseek_deepseek-v4-pro_rep1,5_extended,qwen3.6-27b,1,6,7,7,3,5,7,4,3,6
deepseek_deepseek-v4-pro_rep1__6_stopped.png,deepseek_deepseek-v4-pro_rep1,6_stopped,claude-sonnet-5,3,6,7,6,5,4,6,5,4,5
deepseek_deepseek-v4-pro_rep1__6_stopped.png,deepseek_deepseek-v4-pro_rep1,6_stopped,gpt-4.1,3,6,7,7,5,5,6,5,5,6
deepseek_deepseek-v4-pro_rep1__6_stopped.png,deepseek_deepseek-v4-pro_rep1,6_stopped,qwen3.6-27b,2,6.0,7.0,6.5,2.5,4.0,7.0,2.5,1.5,4.5
deepseek_deepseek-v4-pro_rep2__1_boot_idle.png,deepseek_deepseek-v4-pro_rep2,1_boot_idle,claude-sonnet-5,3,6,6,5,4,4,5,4,4,5
deepseek_deepseek-v4-pro_rep2__1_boot_idle.png,deepseek_deepseek-v4-pro_rep2,1_boot_idle,gpt-4.1,3,6,7,6,4,5,6,5,3,6
deepseek_deepseek-v4-pro_rep2__1_boot_idle.png,deepseek_deepseek-v4-pro_rep2,1_boot_idle,qwen3.6-27b,1,4.5,6.0,6.0,2.5,4.0,6.0,3.0,2,6
deepseek_deepseek-v4-pro_rep2__2_started.png,deepseek_deepseek-v4-pro_rep2,2_started,claude-sonnet-5,3,6,7,6,5,5,6,4,3,5
deepseek_deepseek-v4-pro_rep2__2_started.png,deepseek_deepseek-v4-pro_rep2,2_started,gpt-4.1,3,7,7,6,5,6,7,5,3,7
deepseek_deepseek-v4-pro_rep2__2_started.png,deepseek_deepseek-v4-pro_rep2,2_started,qwen3.6-27b,0,,,,,,,,,
deepseek_deepseek-v4-pro_rep2__3_mid_meeting.png,deepseek_deepseek-v4-pro_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,6,4,5,6,5,4,6
deepseek_deepseek-v4-pro_rep2__3_mid_meeting.png,deepseek_deepseek-v4-pro_rep2,3_mid_meeting,gpt-4.1,3,7,7,6,5,6,7,5,3,6
deepseek_deepseek-v4-pro_rep2__3_mid_meeting.png,deepseek_deepseek-v4-pro_rep2,3_mid_meeting,qwen3.6-27b,1,6,7,6,4,5,7,3,2,5
deepseek_deepseek-v4-pro_rep2__4_threshold.png,deepseek_deepseek-v4-pro_rep2,4_threshold,claude-sonnet-5,3,6,7,6,4,4,6,4,3,5
deepseek_deepseek-v4-pro_rep2__4_threshold.png,deepseek_deepseek-v4-pro_rep2,4_threshold,gpt-4.1,3,7,7,6,5,6,7,5,3,6
deepseek_deepseek-v4-pro_rep2__4_threshold.png,deepseek_deepseek-v4-pro_rep2,4_threshold,qwen3.6-27b,1,7,7,6,3,5,7,4,2,5
deepseek_deepseek-v4-pro_rep2__5_extended.png,deepseek_deepseek-v4-pro_rep2,5_extended,claude-sonnet-5,3,6,7,6,4,4,6,4,3,5
deepseek_deepseek-v4-pro_rep2__5_extended.png,deepseek_deepseek-v4-pro_rep2,5_extended,gpt-4.1,3,6,7,6,5,6,6,4,3,6
deepseek_deepseek-v4-pro_rep2__5_extended.png,deepseek_deepseek-v4-pro_rep2,5_extended,qwen3.6-27b,0,,,,,,,,,
deepseek_deepseek-v4-pro_rep2__6_stopped.png,deepseek_deepseek-v4-pro_rep2,6_stopped,claude-sonnet-5,3,6,7,6,5,4,5,5,4,5
deepseek_deepseek-v4-pro_rep2__6_stopped.png,deepseek_deepseek-v4-pro_rep2,6_stopped,gpt-4.1,3,6,7,6,4,6,5,4,3,6
deepseek_deepseek-v4-pro_rep2__6_stopped.png,deepseek_deepseek-v4-pro_rep2,6_stopped,qwen3.6-27b,1,7,7,6,4,6,7,5,3,6
groq_llama-3.3-70b-versatile_rep2__1_boot_idle.png,groq_llama-3.3-70b-versatile_rep2,1_boot_idle,claude-sonnet-5,2,6,7,5,4,4,6,4.5,3,5
groq_llama-3.3-70b-versatile_rep2__1_boot_idle.png,groq_llama-3.3-70b-versatile_rep2,1_boot_idle,gpt-4.1,3,6,7,6,5,5,6,4,4,6
groq_llama-3.3-70b-versatile_rep2__1_boot_idle.png,groq_llama-3.3-70b-versatile_rep2,1_boot_idle,qwen3.6-27b,3,2,5,4,5,2,2,3,4,3
groq_llama-3.3-70b-versatile_rep2__2_started.png,groq_llama-3.3-70b-versatile_rep2,2_started,claude-sonnet-5,2,6,7,5,5,4,6,4.0,4,5
groq_llama-3.3-70b-versatile_rep2__2_started.png,groq_llama-3.3-70b-versatile_rep2,2_started,gpt-4.1,3,6,7,6,4,5,6,4,3,6
groq_llama-3.3-70b-versatile_rep2__2_started.png,groq_llama-3.3-70b-versatile_rep2,2_started,qwen3.6-27b,1,7,7,6,4,5,7,5,2,5
groq_llama-3.3-70b-versatile_rep2__3_mid_meeting.png,groq_llama-3.3-70b-versatile_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,5,4,4,6,4,3,5
groq_llama-3.3-70b-versatile_rep2__3_mid_meeting.png,groq_llama-3.3-70b-versatile_rep2,3_mid_meeting,gpt-4.1,3,6,7,6,5,5,6,4,3,6
groq_llama-3.3-70b-versatile_rep2__3_mid_meeting.png,groq_llama-3.3-70b-versatile_rep2,3_mid_meeting,qwen3.6-27b,0,,,,,,,,,
groq_llama-3.3-70b-versatile_rep2__4_threshold.png,groq_llama-3.3-70b-versatile_rep2,4_threshold,claude-sonnet-5,3,6,7,5,4,4,6,4,3,5
groq_llama-3.3-70b-versatile_rep2__4_threshold.png,groq_llama-3.3-70b-versatile_rep2,4_threshold,gpt-4.1,3,7,7,6,5,5,7,5,3,6
groq_llama-3.3-70b-versatile_rep2__4_threshold.png,groq_llama-3.3-70b-versatile_rep2,4_threshold,qwen3.6-27b,0,,,,,,,,,
groq_llama-3.3-70b-versatile_rep2__5_extended.png,groq_llama-3.3-70b-versatile_rep2,5_extended,claude-sonnet-5,3,6,7,5,5,4,6,5,4,5
groq_llama-3.3-70b-versatile_rep2__5_extended.png,groq_llama-3.3-70b-versatile_rep2,5_extended,gpt-4.1,3,6,7,7,5,5,7,4,3,6
groq_llama-3.3-70b-versatile_rep2__5_extended.png,groq_llama-3.3-70b-versatile_rep2,5_extended,qwen3.6-27b,1,3,2,2,2,2,4,1,2,3
groq_llama-3.3-70b-versatile_rep2__6_stopped.png,groq_llama-3.3-70b-versatile_rep2,6_stopped,claude-sonnet-5,3,6,7,5,5,3,6,4,4,5
groq_llama-3.3-70b-versatile_rep2__6_stopped.png,groq_llama-3.3-70b-versatile_rep2,6_stopped,gpt-4.1,3,7,7,7,5,5,6,5,4,6
groq_llama-3.3-70b-versatile_rep2__6_stopped.png,groq_llama-3.3-70b-versatile_rep2,6_stopped,qwen3.6-27b,1,7,7,7,4,6,7,3,2,5
groq_openai_gpt-oss-120b_rep1__1_boot_idle.png,groq_openai_gpt-oss-120b_rep1,1_boot_idle,claude-sonnet-5,3,6,7,6,5,3,6,3,4,3
groq_openai_gpt-oss-120b_rep1__1_boot_idle.png,groq_openai_gpt-oss-120b_rep1,1_boot_idle,gpt-4.1,3,5,6,6,4,4,3,5,3,5
groq_openai_gpt-oss-120b_rep1__1_boot_idle.png,groq_openai_gpt-oss-120b_rep1,1_boot_idle,qwen3.6-27b,1,2,2,3,6,2,2,3,6,2
groq_openai_gpt-oss-120b_rep1__2_started.png,groq_openai_gpt-oss-120b_rep1,2_started,claude-sonnet-5,3,6,6,5,4,3,6,3,4,3
groq_openai_gpt-oss-120b_rep1__2_started.png,groq_openai_gpt-oss-120b_rep1,2_started,gpt-4.1,3,6,5,6,4,4,6,3,4,3
groq_openai_gpt-oss-120b_rep1__2_started.png,groq_openai_gpt-oss-120b_rep1,2_started,qwen3.6-27b,3,3,3,4,5,2,3,2,5,2
groq_openai_gpt-oss-120b_rep1__3_mid_meeting.png,groq_openai_gpt-oss-120b_rep1,3_mid_meeting,claude-sonnet-5,3,6,6,6,4,3,6,3,4,3
groq_openai_gpt-oss-120b_rep1__3_mid_meeting.png,groq_openai_gpt-oss-120b_rep1,3_mid_meeting,gpt-4.1,3,6,5,6,4,4,6,3,3,3
groq_openai_gpt-oss-120b_rep1__3_mid_meeting.png,groq_openai_gpt-oss-120b_rep1,3_mid_meeting,qwen3.6-27b,1,2,6,4,3,2,4,1,2,1
groq_openai_gpt-oss-120b_rep1__4_threshold.png,groq_openai_gpt-oss-120b_rep1,4_threshold,claude-sonnet-5,3,6,7,5,4,3,6,3,4,3
groq_openai_gpt-oss-120b_rep1__4_threshold.png,groq_openai_gpt-oss-120b_rep1,4_threshold,gpt-4.1,3,6,5,6,5,4,6,3,4,3
groq_openai_gpt-oss-120b_rep1__4_threshold.png,groq_openai_gpt-oss-120b_rep1,4_threshold,qwen3.6-27b,0,,,,,,,,,
groq_openai_gpt-oss-120b_rep1__5_extended.png,groq_openai_gpt-oss-120b_rep1,5_extended,claude-sonnet-5,2,6,7,6,5,4,6,4.0,5,4
groq_openai_gpt-oss-120b_rep1__5_extended.png,groq_openai_gpt-oss-120b_rep1,5_extended,gpt-4.1,3,6,4,6,5,3,6,3,4,3
groq_openai_gpt-oss-120b_rep1__5_extended.png,groq_openai_gpt-oss-120b_rep1,5_extended,qwen3.6-27b,1,3,2,3,4,2,4,2,3,2
groq_openai_gpt-oss-120b_rep1__6_stopped.png,groq_openai_gpt-oss-120b_rep1,6_stopped,claude-sonnet-5,3,6,7,6,5,3,6,4,5,3
groq_openai_gpt-oss-120b_rep1__6_stopped.png,groq_openai_gpt-oss-120b_rep1,6_stopped,gpt-4.1,3,7,6,6,5,5,7,4,3,5
